,5,10,15,30,45,60,90,120,240,300
B737,49,103,161,387,716,1135,1974,2714,28784,38824
B734,53,111,175,427,801,1282,2244,3088,33852,45685
CRJX,40,83,129,303,545,848,1454,1994,19690,26524
B738,54,115,181,445,839,1348,2365,3257,36151,48798
B752,58,124,197,498,960,1565,2775,3830,44560,60193
B763,73,156,246,612,1163,1878,3309,4560,51516,69557
B744,101,216,346,892,1752,2888,5159,7129,85703,115828
A319,45,96,151,372,699,1122,1967,2709,29952,40428
A320,48,101,161,405,778,1265,2238,3087,35616,48105
A321,52,111,178,459,902,1487,2658,3674,44248,59803
AT43,32,66,102,225,380,565,933,1270,9999,13407
AT76,36,75,116,266,470,721,1222,1672,15513,20873
DH8D,36,74,115,265,470,724,1232,1686,15934,21447
E190,40,84,132,310,562,878,1510,2072,20827,28066
A332,79,169,269,682,1320,2157,3831,5288,62001,83763
B733,52,109,171,408,745,1173,2027,2784,28729,38732
B735,52,108,169,393,704,1092,1867,2560,24943,33593
AT72,36,75,116,264,463,706,1194,1632,14845,19966
