ac_icao,ac_eq,wake,engine_type,bada_code_ac_model,bada_version,type
A124,A346,H,JET,A340-642,4.0,historic
A148,E170,M,JET,EMB-175LR,4.0,manually_added
A306,A30B,H,JET,A300B4-203,4.0,historic
A30B,A30B,H,JET,A300B4-203,4.0,historic
A310,A310,H,JET,A310-324,4.0,historic
A318,A320,M,JET,A318-112,4.0,historic
A319,A319,M,JET,A319-114,4.0,historic
A320,A320,M,JET,A320-214,4.0,historic
A321,A321,M,JET,A321-131,4.0,historic
A332,A333,H,JET,A330-301,4.0,historic
A333,A333,H,JET,A330-301,4.0,historic
A342,A346,H,JET,A340-642,4.0,historic
A343,A346,H,JET,A340-642,4.0,historic
A345,A346,H,JET,A340-642,4.0,historic
A346,A346,H,JET,A340-642,4.0,historic
A359,A346,H,JET,A340-642,4.0,historic
A388,A388,J,JET,A380-861,4.0,historic
A3ST,A30B,H,JET,A300B4-203,4.0,historic
AA5,L_PISTON,L,PISTON,,4.0,historic
AC90,L_TURBOPROP,L,TURBOPROP,BE20,3.0,historic
AC95,L_TURBOPROP,L,TURBOPROP,BE20,3.0,historic
AEST,L_TURBOPROP,L,TURBOPROP,BE20,3.0,historic
AN12,AT45,M,TURBOPROP,ATR72-200,4.0,historic
AN24,AT45,M,TURBOPROP,ATR72-200,4.0,historic
AN26,AT45,M,TURBOPROP,ATR72-200,4.0,historic
AN72,A320,M,JET,A320-214,4.0,historic
ASTR,A320,M,JET,A320-214,4.0,historic
AT43,AT44,M,TURBOPROP,ATR42-400,4.0,historic
AT44,AT44,M,TURBOPROP,ATR42-400,4.0,historic
AT45,AT44,M,TURBOPROP,ATR42-400,4.0,historic
AT72,AT72,M,TURBOPROP,ATR72-200,4.0,historic
AT73,AT72,M,TURBOPROP,ATR72-200,4.0,historic
AT75,AT72,M,TURBOPROP,ATR72-200,4.0,historic
AT76,AT72,M,TURBOPROP,ATR72-200,4.0,historic
ATLA,AT45,M,TURBOPROP,ATR72-200,4.0,historic
ATP,ATP,M,TURBOPROP,ATP,3.0,historic
B1,A346,H,JET,A340-642,4.0,historic
B190,AT45,M,TURBOPROP,ATR72-200,4.0,historic
