icao_id,altitude,tis,trs,taxi_time,coords,time_zone,mean_taxi_out,std_taxi_out,mean_taxi_in,std_taxi_in,MCT_standard,MCT_domestic,MCT_international,ECAC,atfm_area,nas,declared_capacity,size,better_mean_taxi_out,lat,lon
BIKF,171,0.0,0.0,10.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xaeG\xe1z\x14\xfeO@\x8e6[\xb0\x05\x9b6\xc0',0.0,10.6852,3.0982,6.8891,2.9442,39.0,20.0,60.0,1.0,1.0,BI,45.0,small,10.0,63.985,-22.6055555556
CYHZ,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x05\xe0\x8b%\xbfpF@BG<+\x1a\xc1O\xc0',-4.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,0.0,C,45.0,medium,10.0,44.8808333333,-63.508611111099995
CYOW,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe1z\x14\xaeG\xa9F@1Cm\xa0\xd3\xeaR\xc0',-5.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,0.0,C,45.0,medium,10.0,45.3225,-75.66916666670001
CYQB,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xd2\xacX\xf2\x8beG@\xf8u\xfb\x83\x0c\xd9Q\xc0',-5.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,0.0,C,45.0,medium,10.0,46.7933333333,-71.3913888889
CYUL,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xae\x01\x94>\xe9\xbbF@_\xdca\xearoR\xc0',-5.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,52.0,30.0,60.0,0.0,0.0,C,45.0,medium,20.0,45.4680555556,-73.7413888889
CYVR,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x10q\xe2Y\xd1\x98H@\x1f(\x12\xf0\xcd\xcb^\xc0',-8.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,78.0,57.0,85.0,0.0,0.0,C,45.0,medium,10.0,49.193888888900005,-123.1844444444
CYYC,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x05\x9a>\xe9\x93\x8eI@$\x1f*;L\x81\\\xc0',-7.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,0.0,C,45.0,medium,10.0,51.1138888889,-114.0202777778
CYYZ,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x9a<\xc07\xaf\xd6E@=g\xb0\x05[\xe8S\xc0',-5.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,79.0,52.0,88.0,0.0,0.0,C,45.0,medium,20.0,43.6772222222,-79.6305555556
DABC,0,10.0,5.0,6.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\x9a\xf6r\xfb\x83$B@\xd4\xff\xa0\xd3\x06z\x1a@',1.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,1.0,DA,45.0,medium,6.0,36.285277777800005,6.6191666667
DBBB,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00\xe0\xeey5\xf1l\x19@\xdd\xeb\x0f\x11\x11\x11\x03@',1.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,0.0,DG,45.0,medium,10.0,6.3563888889,2.3833333333
DGAA,0,0.0,0.0,0.0,b'\x00\x00\x00\x00\x01\x01\x00\x00\x00ffffff\x16@\x00\x00\x00\x00\x00\x00\xf0\xbf',0.0,12.013748148148148,4.301655555555556,5.215300000000001,2.1277407407407405,45.51851851851852,34.51851851851852,61.44444444444444,0.0,0.0,DG,45.0,medium,10.0,5.6,-1.0
