index,icao_id,min,max,nb_ex,nb,ratio,nb_ex_p,nb_p,ratio_p,modif_cap_due_traffic_diff
0,EGLL,2014-09-12 06:30:00,2014-09-12 19:00:00,6.0,1428.0,0.0041841004184100415,4.0,476.0,0.008333333333333333,0.9916666666666667
1,LFPG,2014-09-12 06:30:00,2014-09-12 11:30:00,118.0,1423.0,0.07657365347177157,4.0,441.0,0.008988764044943821,0.9910112359550561
2,EDDF,2014-09-12 07:00:00,2014-09-12 18:30:00,97.0,1418.0,0.06402640264026403,81.0,467.0,0.1478102189781022,0.8521897810218978
3,EHAM,2014-09-12 06:00:00,2014-09-12 19:00:00,70.0,1344.0,0.04950495049504951,61.0,458.0,0.11753371868978806,0.882466281310212
4,LTBA,2014-09-12 03:30:00,2014-09-12 17:30:00,65.0,1268.0,0.04876219054763691,53.0,338.0,0.13554987212276215,0.8644501278772379
5,EDDM,2014-09-12 05:30:00,2014-09-12 19:30:00,64.0,1154.0,0.052545155993431854,57.0,463.0,0.10961538461538461,0.8903846153846153
6,LIRF,2014-09-12 06:00:00,2014-09-12 19:00:00,7.0,1044.0,0.006660323501427212,4.0,390.0,0.01015228426395939,0.9898477157360406
7,LEMD,2014-09-12 08:00:00,2014-09-12 19:30:00,56.0,1017.0,0.0521901211556384,46.0,360.0,0.11330049261083744,0.8866995073891626
8,EGKK,2014-09-12 06:00:00,2014-09-12 18:30:00,3.0,908.0,0.003293084522502744,2.0,289.0,0.006872852233676976,0.993127147766323
9,LEBL,2014-09-12 07:00:00,2014-09-12 19:00:00,35.0,905.0,0.03723404255319149,24.0,314.0,0.07100591715976332,0.9289940828402367
10,EKCH,2014-09-12 05:00:00,2014-09-12 18:30:00,46.0,804.0,0.05411764705882353,33.0,277.0,0.1064516129032258,0.8935483870967742
11,LFPO,2014-09-12 05:30:00,2014-09-12 18:00:00,5.0,793.0,0.006265664160401002,3.0,298.0,0.009966777408637873,0.9900332225913622
12,ENGM,2014-09-12 05:30:00,2014-09-12 17:00:00,65.0,775.0,0.07738095238095238,51.0,278.0,0.15501519756838905,0.8449848024316109
13,LTAI,2014-09-12 03:00:00,2014-09-12 12:00:00,8.0,750.0,0.010554089709762533,7.0,234.0,0.029045643153526972,0.970954356846473
14,LOWW,2014-09-12 06:30:00,2014-09-12 18:00:00,54.0,746.0,0.0675,48.0,260.0,0.15584415584415584,0.8441558441558441
15,LSZH,2014-09-12 05:00:00,2014-09-12 15:00:00,113.0,745.0,0.1317016317016317,102.0,261.0,0.2809917355371901,0.71900826446281
16,ESSA,2014-09-12 05:00:00,2014-09-12 18:00:00,42.0,723.0,0.054901960784313725,28.0,241.0,0.10408921933085502,0.895910780669145
17,EBBR,2014-09-12 06:30:00,2014-09-12 18:30:00,73.0,721.0,0.09193954659949623,51.0,285.0,0.15178571428571427,0.8482142857142857
18,EDDL,2014-09-12 06:30:00,2014-09-12 18:00:00,34.0,682.0,0.04748603351955307,32.0,239.0,0.11808118081180811,0.8819188191881919
19,LEPA,2014-09-12 06:00:00,2014-09-12 19:00:00,38.0,663.0,0.05420827389443652,37.0,234.0,0.13653136531365315,0.8634686346863468
20,EGCC,2014-09-12 05:00:00,2014-09-12 18:30:00,17.0,607.0,0.027243589743589744,16.0,225.0,0.06639004149377593,0.9336099585062241
21,EDDT,2014-09-12 05:30:00,2014-09-12 18:30:00,8.0,598.0,0.013201320132013201,8.0,186.0,0.041237113402061855,0.9587628865979382
22,EIDW,2014-09-12 05:30:00,2014-09-12 17:00:00,46.0,552.0,0.07692307692307693,38.0,193.0,0.1645021645021645,0.8354978354978355
23,LTFJ,2014-09-12 04:00:00,2014-09-12 20:30:00,44.0,529.0,0.07678883071553229,40.0,194.0,0.17094017094017094,0.8290598290598291
24,EFHK,2014-09-12 04:30:00,2014-09-12 20:30:00,47.0,520.0,0.08289241622574955,43.0,201.0,0.1762295081967213,0.8237704918032787
25,LIMC,2014-09-12 08:00:00,2014-09-12 19:00:00,44.0,506.0,0.08,33.0,156.0,0.1746031746031746,0.8253968253968254
26,LPPT,2014-09-12 07:00:00,2014-09-12 19:30:00,25.0,487.0,0.048828125,22.0,158.0,0.12222222222222222,0.8777777777777778
27,EGSS,2014-09-12 06:00:00,2014-09-12 22:30:00,40.0,464.0,0.07936507936507936,37.0,136.0,0.2138728323699422,0.7861271676300579
28,LGAV,2014-09-12 04:00:00,2014-09-12 15:00:00,59.0,463.0,0.11302681992337164,47.0,159.0,0.22815533980582525,0.7718446601941747
29,EDDH,2014-09-12 04:30:00,2014-09-12 17:00:00,37.0,454.0,0.07535641547861507,37.0,143.0,0.20555555555555555,0.7944444444444444
30,LSGG,2014-09-12 08:00:00,2014-09-12 17:00:00,125.0,427.0,0.22644927536231885,106.0,171.0,0.38267148014440433,0.6173285198555957
31,EPWA,2014-09-12 04:00:00,2014-09-12 20:30:00,59.0,425.0,0.12190082644628099,59.0,156.0,0.2744186046511628,0.7255813953488373
32,LKPR,2014-09-12 08:30:00,2014-09-12 19:00:00,41.0,412.0,0.09050772626931568,32.0,153.0,0.17297297297297298,0.827027027027027
33,LFMN,2014-09-12 08:30:00,2014-09-12 19:00:00,126.0,357.0,0.2608695652173913,117.0,157.0,0.42700729927007297,0.572992700729927
34,LFLL,2014-09-12 05:30:00,2014-09-12 18:00:00,30.0,352.0,0.07853403141361257,19.0,182.0,0.0945273631840796,0.9054726368159204
35,LEMG,2014-09-12 08:00:00,2014-09-12 21:30:00,29.0,350.0,0.07651715039577836,28.0,149.0,0.15819209039548024,0.8418079096045198
36,EGPH,2014-09-12 07:00:00,2014-09-12 17:30:00,28.0,341.0,0.07588075880758807,21.0,111.0,0.1590909090909091,0.8409090909090909
37,EDDS,2014-09-12 04:00:00,2014-09-12 18:00:00,77.0,340.0,0.18465227817745802,75.0,138.0,0.352112676056338,0.647887323943662
38,UUEE,2014-09-12 01:00:00,2014-09-12 15:30:00,82.0,337.0,0.1957040572792363,58.0,115.0,0.3352601156069364,0.6647398843930635
39,EDDK,2014-09-12 08:00:00,2014-09-12 19:30:00,148.0,322.0,0.3148936170212766,91.0,100.0,0.47643979057591623,0.5235602094240838
40,EGBB,2014-09-12 06:00:00,2014-09-12 19:00:00,19.0,315.0,0.05688622754491018,15.0,94.0,0.13761467889908258,0.8623853211009175
41,LROP,2014-09-12 03:00:00,2014-09-12 17:00:00,33.0,285.0,0.10377358490566038,32.0,103.0,0.23703703703703705,0.762962962962963
43,EGPF,2014-09-12 06:00:00,2014-09-12 17:00:00,18.0,268.0,0.06293706293706294,16.0,68.0,0.19047619047619047,0.8095238095238095
44,LFBO,2014-09-12 05:00:00,2014-09-12 18:00:00,54.0,268.0,0.16770186335403728,47.0,105.0,0.3092105263157895,0.6907894736842105
45,EGGW,2014-09-12 05:30:00,2014-09-12 19:00:00,92.0,258.0,0.26285714285714284,85.0,92.0,0.480225988700565,0.519774011299435
46,LTAC,2014-09-12 05:30:00,2014-09-12 20:30:00,31.0,255.0,0.10839160839160839,31.0,59.0,0.34444444444444444,0.6555555555555556
47,LHBP,2014-09-12 04:00:00,2014-09-12 19:00:00,39.0,254.0,0.13310580204778158,38.0,99.0,0.2773722627737226,0.7226277372262774
48,LIPZ,2014-09-12 07:00:00,2014-09-12 18:30:00,28.0,252.0,0.1,24.0,87.0,0.21621621621621623,0.7837837837837838
50,LFML,2014-09-12 06:30:00,2014-09-12 18:00:00,60.0,249.0,0.1941747572815534,45.0,97.0,0.31690140845070425,0.6830985915492958
51,LTBJ,2014-09-12 04:00:00,2014-09-12 19:00:00,18.0,242.0,0.06923076923076923,13.0,73.0,0.1511627906976744,0.8488372093023255
52,LEAL,2014-09-12 08:00:00,2014-09-12 21:00:00,9.0,237.0,0.036585365853658534,8.0,86.0,0.0851063829787234,0.9148936170212766
53,EGLC,2014-09-12 06:00:00,2014-09-12 18:30:00,18.0,235.0,0.07114624505928854,18.0,111.0,0.13953488372093023,0.8604651162790697
54,LGIR,2014-09-12 06:30:00,2014-09-12 19:00:00,19.0,232.0,0.07569721115537849,18.0,98.0,0.15517241379310345,0.8448275862068966
55,UUDD,2014-09-12 01:00:00,2014-09-12 15:00:00,120.0,229.0,0.3438395415472779,87.0,78.0,0.5272727272727272,0.4727272727272727
56,LEIB,2014-09-12 06:00:00,2014-09-12 21:00:00,44.0,229.0,0.16117216117216118,41.0,87.0,0.3203125,0.6796875
58,UKBB,2014-09-12 05:00:00,2014-09-12 16:30:00,16.0,208.0,0.07142857142857142,13.0,93.0,0.12264150943396226,0.8773584905660378
60,GCTS,2014-09-12 09:30:00,2014-09-12 19:30:00,7.0,207.0,0.03271028037383177,4.0,78.0,0.04878048780487805,0.9512195121951219
61,LLBG,2014-09-12 01:30:00,2014-09-12 13:30:00,67.0,205.0,0.24632352941176472,38.0,81.0,0.31932773109243695,0.680672268907563
62,GCLP,2014-09-12 10:30:00,2014-09-12 15:00:00,32.0,201.0,0.13733905579399142,15.0,17.0,0.46875,0.53125
63,OMDB,2014-09-12 03:00:00,2014-09-12 20:30:00,87.0,199.0,0.3041958041958042,62.0,61.0,0.5040650406504065,0.4959349593495935
64,LICC,2014-09-12 06:30:00,2014-09-12 16:00:00,24.0,197.0,0.1085972850678733,21.0,54.0,0.28,0.72
65,LIME,2014-09-12 04:30:00,2014-09-12 21:30:00,38.0,196.0,0.1623931623931624,31.0,84.0,0.26956521739130435,0.7304347826086957
66,LPPR,2014-09-12 06:30:00,2014-09-12 18:00:00,21.0,193.0,0.09813084112149532,13.0,69.0,0.15853658536585366,0.8414634146341463
67,ESGG,2014-09-12 04:30:00,2014-09-12 16:30:00,15.0,192.0,0.07246376811594203,12.0,85.0,0.12371134020618557,0.8762886597938144
68,LYBE,2014-09-12 04:30:00,2014-09-12 20:30:00,22.0,191.0,0.10328638497652583,22.0,62.0,0.2619047619047619,0.7380952380952381
69,EGGD,2014-09-12 05:00:00,2014-09-12 19:30:00,14.0,191.0,0.06829268292682927,14.0,77.0,0.15384615384615385,0.8461538461538461
70,EVRA,2014-09-12 05:30:00,2014-09-12 19:30:00,22.0,190.0,0.10377358490566038,22.0,97.0,0.18487394957983194,0.8151260504201681
72,LIRN,2014-09-12 09:00:00,2014-09-12 20:30:00,42.0,186.0,0.18421052631578946,40.0,74.0,0.3508771929824561,0.6491228070175439
73,EDDV,2014-09-12 08:00:00,2014-09-12 20:00:00,32.0,186.0,0.14678899082568808,31.0,56.0,0.3563218390804598,0.6436781609195402
76,KJFK,2014-09-12 01:30:00,2014-09-12 19:30:00,61.0,179.0,0.25416666666666665,36.0,38.0,0.4864864864864865,0.5135135135135135
77,LTBS,2014-09-12 10:00:00,2014-09-12 20:30:00,17.0,178.0,0.08717948717948718,16.0,56.0,0.2222222222222222,0.7777777777777778
78,EDDB,2014-09-12 08:00:00,2014-09-12 20:30:00,40.0,174.0,0.18691588785046728,31.0,74.0,0.29523809523809524,0.7047619047619048
79,LFBD,2014-09-12 06:00:00,2014-09-12 18:30:00,32.0,169.0,0.15920398009950248,31.0,52.0,0.37349397590361444,0.6265060240963856
