icao_id,curfew
BGSF,0 days 01:00:00
BIKF,
BKPR,0 days 23:00:00
CYEG,0 days 05:00:00
CYHZ,0 days 02:00:00
CYOW,0 days 03:00:00
CYQB,0 days 03:00:00
CYUL,0 days 03:00:00
CYVR,0 days 06:00:00
CYYC,0 days 05:00:00
CYYR,0 days 02:00:00
CYYT,0 days 02:00:00
CYYZ,0 days 03:00:00
DAAE,0 days 21:00:00
DAAG,0 days 00:00:00
DAAS,0 days 21:00:00
DABB,0 days 21:00:00
DABC,0 days 21:00:00
DAON,0 days 21:00:00
DAOO,0 days 22:30:00
DAUB,0 days 21:00:00
DAUH,0 days 21:00:00
DBBB,0 days 21:00:00
DFFD,0 days 22:00:00
DGAA,0 days 23:00:00
DIAP,
DNAA,0 days 21:00:00
DNMM,0 days 21:30:00
DRRN,0 days 22:00:00
DTMB,
DTNH,
DTTA,
DTTJ,
DTTX,0 days 21:00:00
DXXX,0 days 22:00:00
EBAW,0 days 21:00:00
EBBR,
EBCI,0 days 22:30:00
EBLG,0 days 21:00:00
EBOS,0 days 23:00:00
EDAH,0 days 21:00:00
EDDB,
EDDC,0 days 22:00:00
EDDE,0 days 00:00:00
EDDF,0 days 22:00:00
EDDG,
EDDH,0 days 22:30:00
EDDK,
EDDL,0 days 22:30:00
EDDM,
EDDN,
EDDP,0 days 22:30:00
EDDR,0 days 21:30:00
EDDS,
EDDT,
EDDV,
EDDW,0 days 22:30:00
EDFH,
EDFM,
EDGS,0 days 21:00:00
EDHI,0 days 21:00:00
EDJA,0 days 21:00:00
EDLP,0 days 23:00:00
EDLV,0 days 22:30:00
EDLW,0 days 21:00:00
EDNY,0 days 21:00:00
EDRZ,
EDSB,0 days 22:00:00
EDVE,0 days 21:00:00
EDVK,0 days 21:00:00
EDXW,0 days 21:00:00
EEKA,0 days 20:00:00
EEKE,0 days 20:00:00
EETN,
EETU,0 days 20:00:00
EFHK,
EFIV,0 days 20:00:00
EFJO,0 days 20:00:00
EFJY,0 days 22:30:00
EFKE,0 days 20:30:00
EFKI,0 days 20:00:00
EFKK,0 days 23:00:00
EFKS,0 days 20:00:00
EFKT,0 days 20:30:00
EFKU,0 days 23:00:00
EFMA,0 days 20:00:00
EFOU,0 days 23:00:00
EFPO,
EFRO,0 days 20:00:00
EFSA,0 days 20:00:00
EFTP,0 days 22:30:00
EFTU,0 days 22:30:00
EFVA,
EGAA,
EGAC,0 days 22:00:00
EGAE,0 days 22:00:00
EGBB,
EGBJ,0 days 22:00:00
EGCC,
EGCN,
EGEC,0 days 22:00:00
EGFF,
EGGD,
EGGP,
EGGW,
EGHH,
