iata,icao,source
YKF,CYKF,https://www.boeing.com/commercial/noise/list.page
YOW,CYOW,https://www.boeing.com/commercial/noise/list.page
YQT,CYQT,https://www.boeing.com/commercial/noise/list.page
YUL,CYUL,https://www.boeing.com/commercial/noise/list.page
YVR,CYVR,https://www.boeing.com/commercial/noise/list.page
YXD,CYXD,https://www.boeing.com/commercial/noise/list.page
YYZ,CYYZ,https://www.boeing.com/commercial/noise/list.page
ACC,DGAA,https://www.boeing.com/commercial/noise/list.page
MIR,DTMB,https://www.boeing.com/commercial/noise/list.page
BRU,EBBR,https://www.boeing.com/commercial/noise/list.page
CRL,EBCI,https://www.boeing.com/commercial/noise/list.page
OST,EBOS,https://www.boeing.com/commercial/noise/list.page
SXF,EDDB,https://www.boeing.com/commercial/noise/list.page
DRS,EDDC,https://www.boeing.com/commercial/noise/list.page
ERF,EDDE,https://www.boeing.com/commercial/noise/list.page
FRA,EDDF,https://www.boeing.com/commercial/noise/list.page
FMO,EDDG,https://www.boeing.com/commercial/noise/list.page
HAM,EDDH,https://www.boeing.com/commercial/noise/list.page
CGN,EDDK,https://www.boeing.com/commercial/noise/list.page
DUS,EDDL,https://www.boeing.com/commercial/noise/list.page
MUC,EDDM,https://www.boeing.com/commercial/noise/list.page
NUE,EDDN,https://www.boeing.com/commercial/noise/list.page
LEJ,EDDP,https://www.boeing.com/commercial/noise/list.page
SCN,EDDR,https://www.boeing.com/commercial/noise/list.page
STR,EDDS,https://www.boeing.com/commercial/noise/list.page
TXL,EDDT,https://www.boeing.com/commercial/noise/list.page
HAJ,EDDV,https://www.boeing.com/commercial/noise/list.page
BRE,EDDW,https://www.boeing.com/commercial/noise/list.page
QEF,EDFE,https://www.boeing.com/commercial/noise/list.page
HHN,EDFH,https://www.boeing.com/commercial/noise/list.page
KEL,EDHK,https://www.boeing.com/commercial/noise/list.page
FMM,EDJA,https://www.boeing.com/commercial/noise/list.page
MGL,EDLN,https://www.boeing.com/commercial/noise/list.page
PAD,EDLP,https://www.boeing.com/commercial/noise/list.page
NRN,EDLV,https://www.boeing.com/commercial/noise/list.page
DTM,EDLW,https://www.boeing.com/commercial/noise/list.page
FDH,EDNY,https://www.boeing.com/commercial/noise/list.page
FKB,EDSB,https://www.boeing.com/commercial/noise/list.page
TMP,EFTP,https://www.boeing.com/commercial/noise/list.page
BHD,EGAC,https://www.boeing.com/commercial/noise/list.page
BHX,EGBB,https://www.boeing.com/commercial/noise/list.page
CVT,EGBE,https://www.boeing.com/commercial/noise/list.page
MAN,EGCC,https://www.boeing.com/commercial/noise/list.page
DSA,EGCN,https://www.boeing.com/commercial/noise/list.page
BRS,EGGD,https://www.boeing.com/commercial/noise/list.page
LPL,EGGP,https://www.boeing.com/commercial/noise/list.page
LTN,EGGW,https://www.boeing.com/commercial/noise/list.page
BOH,EGHH,https://www.boeing.com/commercial/noise/list.page
SOU,EGHI,https://www.boeing.com/commercial/noise/list.page
JER,EGJJ,https://www.boeing.com/commercial/noise/list.page
BQH,EGKB,https://www.boeing.com/commercial/noise/list.page
LGW,EGKK,https://www.boeing.com/commercial/noise/list.page
LCY,EGLC,https://www.boeing.com/commercial/noise/list.page
FAB,EGLF,https://www.boeing.com/commercial/noise/list.page
LHR,EGLL,https://www.boeing.com/commercial/noise/list.page
MSE,EGMH,https://www.boeing.com/commercial/noise/list.page
LBA,EGNM,https://www.boeing.com/commercial/noise/list.page
EMA,EGNX,https://www.boeing.com/commercial/noise/list.page
ABZ,EGPD,https://www.boeing.com/commercial/noise/list.page
GLA,EGPF,https://www.boeing.com/commercial/noise/list.page
EDI,EGPH,https://www.boeing.com/commercial/noise/list.page
CBG,EGSC,https://www.boeing.com/commercial/noise/list.page
NWI,EGSH,https://www.boeing.com/commercial/noise/list.page
STN,EGSS,https://www.boeing.com/commercial/noise/list.page
EXT,EGTE,https://www.boeing.com/commercial/noise/list.page
AMS,EHAM,https://www.boeing.com/commercial/noise/list.page
MST,EHBK,https://www.boeing.com/commercial/noise/list.page
RTM,EHRD,https://www.boeing.com/commercial/noise/list.page
KIR,EIKY,https://www.boeing.com/commercial/noise/list.page
CPH,EKCH,https://www.boeing.com/commercial/noise/list.page
ODE,EKOD,https://www.boeing.com/commercial/noise/list.page
LUX,ELLX,https://www.boeing.com/commercial/noise/list.page
OSL,ENGM,https://www.boeing.com/commercial/noise/list.page
TRF,ENTO,https://www.boeing.com/commercial/noise/list.page
WAW,EPWA,https://www.boeing.com/commercial/noise/list.page
GOT,ESGG,https://www.boeing.com/commercial/noise/list.page
GSE,ESGP,https://www.boeing.com/commercial/noise/list.page
SDL,ESNN,https://www.boeing.com/commercial/noise/list.page
KRN,ESNQ,https://www.boeing.com/commercial/noise/list.page
UME,ESNU,https://www.boeing.com/commercial/noise/list.page
BMA,ESSB,https://www.boeing.com/commercial/noise/list.page
NRK,ESSP,https://www.boeing.com/commercial/noise/list.page
CPT,FACT,https://www.boeing.com/commercial/noise/list.page
JNB,FAOR,https://www.boeing.com/commercial/noise/list.page
MRU,FIMP,https://www.boeing.com/commercial/noise/list.page
FUE,GCFV,https://www.boeing.com/commercial/noise/list.page
APF,KAPF,https://www.boeing.com/commercial/noise/list.page
ASE,KASE,https://www.boeing.com/commercial/noise/list.page
AUS,KAUS,https://www.boeing.com/commercial/noise/list.page
AZO,KAZO,https://www.boeing.com/commercial/noise/list.page
BCT,KBCT,https://www.boeing.com/commercial/noise/list.page
BDR,KBDR,https://www.boeing.com/commercial/noise/list.page
BED,KBED,https://www.boeing.com/commercial/noise/list.page
BFI,KBFI,https://www.boeing.com/commercial/noise/list.page
BOS,KBOS,https://www.boeing.com/commercial/noise/list.page
BUR,KBUR,https://www.boeing.com/commercial/noise/list.page
CEF,KCEF,https://www.boeing.com/commercial/noise/list.page
CGF,KCGF,https://www.boeing.com/commercial/noise/list.page
CGI,KCGI,https://www.boeing.com/commercial/noise/list.page
CMI,KCMI,https://www.boeing.com/commercial/noise/list.page
DAL,KDAL,https://www.boeing.com/commercial/noise/list.page
DCA,KDCA,https://www.boeing.com/commercial/noise/list.page
DEC,KDEC,https://www.boeing.com/commercial/noise/list.page
DEN,KDEN,https://www.boeing.com/commercial/noise/list.page
FOK,KFOK,https://www.boeing.com/commercial/noise/list.page
HPN,KHPN,https://www.boeing.com/commercial/noise/list.page
HVN,KHVN,https://www.boeing.com/commercial/noise/list.page
HYA,KHYA,https://www.boeing.com/commercial/noise/list.page
ISP,KISP,https://www.boeing.com/commercial/noise/list.page
JAC,KJAC,https://www.boeing.com/commercial/noise/list.page
LAS,KLAS,https://www.boeing.com/commercial/noise/list.page
LAX,KLAX,https://www.boeing.com/commercial/noise/list.page
LGB,KLGB,https://www.boeing.com/commercial/noise/list.page
MFE,KMFE,https://www.boeing.com/commercial/noise/list.page
MLI,KMLI,https://www.boeing.com/commercial/noise/list.page
MOB,KMOB,https://www.boeing.com/commercial/noise/list.page
MOD,KMOD,https://www.boeing.com/commercial/noise/list.page
MRY,KMRY,https://www.boeing.com/commercial/noise/list.page
MSP,KMSP,https://www.boeing.com/commercial/noise/list.page
MTN,KMTN,https://www.boeing.com/commercial/noise/list.page
MVY,KMVY,https://www.boeing.com/commercial/noise/list.page
OAJ,KOAJ,https://www.boeing.com/commercial/noise/list.page
ONT,KONT,https://www.boeing.com/commercial/noise/list.page
ORL,KORL,https://www.boeing.com/commercial/noise/list.page
PAE,KPAE,https://www.boeing.com/commercial/noise/list.page
PBI,KPBI,https://www.boeing.com/commercial/noise/list.page
PDK,KPDK,https://www.boeing.com/commercial/noise/list.page
PIE,KPIE,https://www.boeing.com/commercial/noise/list.page
PNE,KPNE,https://www.boeing.com/commercial/noise/list.page
PSM,KPSM,https://www.boeing.com/commercial/noise/list.page
PSP,KPSP,https://www.boeing.com/commercial/noise/list.page
PVD,KPVD,https://www.boeing.com/commercial/noise/list.page
RIC,KRIC,https://www.boeing.com/commercial/noise/list.page
RST,KRST,https://www.boeing.com/commercial/noise/list.page
SAN,KSAN,https://www.boeing.com/commercial/noise/list.page
SBA,KSBA,https://www.boeing.com/commercial/noise/list.page
SCK,KSCK,https://www.boeing.com/commercial/noise/list.page
SEA,KSEA,https://www.boeing.com/commercial/noise/list.page
SJC,KSJC,https://www.boeing.com/commercial/noise/list.page
SMO,KSMO,https://www.boeing.com/commercial/noise/list.page
SNA,KSNA,https://www.boeing.com/commercial/noise/list.page
STL,KSTL,https://www.boeing.com/commercial/noise/list.page
STP,KSTP,https://www.boeing.com/commercial/noise/list.page
SUN,KSUN,https://www.boeing.com/commercial/noise/list.page
TEB,KTEB,https://www.boeing.com/commercial/noise/list.page
TEX,KTEX,https://www.boeing.com/commercial/noise/list.page
TTN,KTTN,https://www.boeing.com/commercial/noise/list.page
TVL,KTVL,https://www.boeing.com/commercial/noise/list.page
VNY,KVNY,https://www.boeing.com/commercial/noise/list.page
SOF,LBSF,https://www.boeing.com/commercial/noise/list.page
DBV,LDDU,https://www.boeing.com/commercial/noise/list.page
BIO,LEBB,https://www.boeing.com/commercial/noise/list.page
MAD,LEMD,https://www.boeing.com/commercial/noise/list.page
SVQ,LEZL,https://www.boeing.com/commercial/noise/list.page
AGF,LFBA,https://www.boeing.com/commercial/noise/list.page
BOD,LFBD,https://www.boeing.com/commercial/noise/list.page
TLS,LFBO,https://www.boeing.com/commercial/noise/list.page
BIQ,LFBZ,https://www.boeing.com/commercial/noise/list.page
LYS,LFLL,https://www.boeing.com/commercial/noise/list.page
CEQ,LFMD,https://www.boeing.com/commercial/noise/list.page
MRS,LFML,https://www.boeing.com/commercial/noise/list.page
NCE,LFMN,https://www.boeing.com/commercial/noise/list.page
MPL,LFMT,https://www.boeing.com/commercial/noise/list.page
BVA,LFOB,https://www.boeing.com/commercial/noise/list.page
LBG,LFPB,https://www.boeing.com/commercial/noise/list.page
CDG,LFPG,https://www.boeing.com/commercial/noise/list.page
ORY,LFPO,https://www.boeing.com/commercial/noise/list.page
NTE,LFRS,https://www.boeing.com/commercial/noise/list.page
BSL,LFSB,https://www.boeing.com/commercial/noise/list.page
DIJ,LFSD,https://www.boeing.com/commercial/noise/list.page
SXB,LFST,https://www.boeing.com/commercial/noise/list.page
BUD,LHBP,https://www.boeing.com/commercial/noise/list.page
LMP,LICD,https://www.boeing.com/commercial/noise/list.page
AHO,LIEA,https://www.boeing.com/commercial/noise/list.page
MXP,LIMC,https://www.boeing.com/commercial/noise/list.page
TRN,LIMF,https://www.boeing.com/commercial/noise/list.page
CUF,LIMZ,https://www.boeing.com/commercial/noise/list.page
BLQ,LIPE,https://www.boeing.com/commercial/noise/list.page
CIA,LIRA,https://www.boeing.com/commercial/noise/list.page
FCO,LIRF,https://www.boeing.com/commercial/noise/list.page
NAP,LIRN,https://www.boeing.com/commercial/noise/list.page
PED,LKPD,https://www.boeing.com/commercial/noise/list.page
PRG,LKPR,https://www.boeing.com/commercial/noise/list.page
TLV,LLBG,https://www.boeing.com/commercial/noise/list.page
SDV,LLSD,https://www.boeing.com/commercial/noise/list.page
GRZ,LOWG,https://www.boeing.com/commercial/noise/list.page
INN,LOWI,https://www.boeing.com/commercial/noise/list.page
LNZ,LOWL,https://www.boeing.com/commercial/noise/list.page
SZG,LOWS,https://www.boeing.com/commercial/noise/list.page
VIE,LOWW,https://www.boeing.com/commercial/noise/list.page
FAO,LPFR,https://www.boeing.com/commercial/noise/list.page
FNC,LPMA,https://www.boeing.com/commercial/noise/list.page
OPO,LPPR,https://www.boeing.com/commercial/noise/list.page
LIS,LPPT,https://www.boeing.com/commercial/noise/list.page
BBU,LRBS,https://www.boeing.com/commercial/noise/list.page
GVA,LSGG,https://www.boeing.com/commercial/noise/list.page
LUG,LSZA,https://www.boeing.com/commercial/noise/list.page
BRN,LSZB,https://www.boeing.com/commercial/noise/list.page
ZRH,LSZH,https://www.boeing.com/commercial/noise/list.page
GIB,LXGB,https://www.boeing.com/commercial/noise/list.page
MBJ,MKJS,https://www.boeing.com/commercial/noise/list.page
AIT,NCAI,https://www.boeing.com/commercial/noise/list.page
RAR,NCRG,https://www.boeing.com/commercial/noise/list.page
TBU,NFTF,https://www.boeing.com/commercial/noise/list.page
WLG,NZWN,https://www.boeing.com/commercial/noise/list.page
BAH,OBBI,https://www.boeing.com/commercial/noise/list.page
KWI,OKBK,https://www.boeing.com/commercial/noise/list.page
HNL,PHNL,https://www.boeing.com/commercial/noise/list.page
ITO,PHTO,https://www.boeing.com/commercial/noise/list.page
KHH,RCKH,https://www.boeing.com/commercial/noise/list.page
TSA,RCSS,https://www.boeing.com/commercial/noise/list.page
NRT,RJAA,https://www.boeing.com/commercial/noise/list.page
SPK,RJCJ,https://www.boeing.com/commercial/noise/list.page
ITM,RJOO,https://www.boeing.com/commercial/noise/list.page
