icao_id,iata,airport_name,mean_txi,std_deviation,10th_perc,median,90th_perc,source
BIKF,KEF,Keflavik,6,2,4,6,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
CYUL,YUL,Montreal/Dorval,7,4,4,6,11,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
CYVR,YVR,Vancouver Intl,6,2,5,6,9,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
CYYC,YYC,Calgary Intl,8,3,5,7,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
CYYZ,YYZ,Toronto Intl/L.B. PE,10,4,6,9,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
DGAA,ACC,Accra,6,2,4,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
DNAA,ABV,Abuja,7,5,5,7,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
DNMM,LOS,Lagos,10,3,7,10,13,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
DTMB,MIR,Monastir/Habib Bourg,4,2,3,4,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EBBR,BRU,Brussels,5,2,3,5,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EDDB,SXF,Schoenefeld?Berlin,6,2,4,6,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EDDF,FRA,Frankfurt,7,3,3,6,10,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EDDG,FMO,Muenster?Osnabrueck,4,1,3,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EDDH,HAM,Hamburg,4,2,3,4,6,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EDDK,CGN,Cologne/Bonn,5,2,3,5,8,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
EDDL,DUS,Dusseldorf,4,2,3,4,7,IATA Summer Season 2010 - from coda-taxi-in-summer-2010.pdf
