icao_id,iata,airport_name,mean_txo,std_deviation,10th_perc,median,90th_perc,source
BIKF,KEF,Keflavik,11,3,7,10,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
CYUL,YUL,Montreal/Dorval,18,7,13,17,24,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
CYVR,YVR,Vancouver Intl,18,6,14,18,24,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
CYYC,YYC,Calgary Intl,18,8,11,17,24,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
CYYZ,YYZ,Toronto Intl/L.B. PE,18,6,13,17,24,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
DGAA,ACC,Accra,10,5,6,8,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
DNMM,LOS,Lagos,15,5,10,14,20,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
DTMB,MIR,Monastir/Habib Bourg,11,3,8,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EBBR,BRU,Brussels,12,4,8,11,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDB,SXF,Schoenefeld?Berlin,12,7,7,10,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDF,FRA,Frankfurt,13,5,7,13,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDG,FMO,Muenster?Osnabrueck,6,2,4,5,9,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDH,HAM,Hamburg,9,4,5,8,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDK,CGN,Cologne/Bonn,11,4,7,11,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDL,DUS,Dusseldorf,12,4,8,12,17,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDM,MUC,Munich,13,5,8,12,19,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDS,STR,Stuttgart,10,4,6,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDT,TXL,Berlin?Tegel,11,4,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EDDV,HAJ,Hanover,10,3,6,9,13,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EFHK,HEL,Helsinki?Vantaa,10,3,7,9,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EFOU,OUL,Oulu,5,2,3,4,7,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGAA,BFS,Belfast/Aldergrove,10,3,7,9,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGBB,BHX,Birmingham,12,4,8,11,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGCC,MAN,Manchester,15,6,9,14,21,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGGD,BRS,Bristol/Lulsgate,10,3,7,9,14,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGGP,LPL,Liverpool,11,6,8,10,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGGW,LTN,London/Luton,13,5,9,12,18,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGKK,LGW,London/Gatwick,17,9,10,16,25,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGLC,LCY,London/City,10,4,5,9,16,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGLL,LHR,London/Heathrow,22,8,14,21,30,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGNT,NCL,Newcastle,11,5,7,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
EGNX,EMA,East Midlands,11,4,8,10,15,IATA Summer Season 2010 - from coda-taxi-out-summer-2010.pdf
