uptake,icao_id,planning_horizon_nm,execution_horizon_nm
D,EBBR,200.0,120.0
D,EDDB,200.0,120.0
D,EDDF,200.0,120.0
D,EDDL,200.0,120.0
D,EDDM,200.0,120.0
D,EGCC,200.0,120.0
D,EGKK,200.0,120.0
D,EGLL,200.0,120.0
D,EGSS,200.0,120.0
D,EHAM,200.0,120.0
D,EIDW,200.0,120.0
D,EKCH,200.0,120.0
D,ENGM,200.0,120.0
D,ESSA,200.0,120.0
D,LEBL,200.0,120.0
D,LEMD,200.0,120.0
D,LEPA,200.0,120.0
D,LFMN,200.0,120.0
D,LFPG,200.0,120.0
D,LFPO,200.0,120.0
D,LIMC,200.0,120.0
D,LIRF,200.0,120.0
D,LOWW,200.0,120.0
D,LSZH,200.0,120.0
H,EBBR,600.0,120.0
H,EDDB,600.0,120.0
H,EDDF,600.0,120.0
H,EDDL,600.0,120.0
H,EDDM,600.0,120.0
H,EGCC,600.0,120.0
H,EGKK,600.0,120.0
H,EGLL,600.0,120.0
H,EGSS,600.0,120.0
H,EHAM,600.0,120.0
H,EIDW,600.0,120.0
H,EKCH,600.0,120.0
H,ENGM,600.0,120.0
H,ESSA,600.0,120.0
H,LEBL,600.0,120.0
H,LEMD,600.0,120.0
H,LEPA,600.0,120.0
H,LFMN,600.0,120.0
H,LFPG,600.0,120.0
H,LFPO,600.0,120.0
H,LIMC,600.0,120.0
H,LIRF,600.0,120.0
H,LOWW,600.0,120.0
H,LSZH,600.0,120.0
