id,icao_orig,icao_dest,bada_code_ac_model,fp_distance_nm,trajectory_pool_id,route_pool_id,crco_cost_EUR
51454,TFFF,LFPO,A330-301,3849.89,35047,46080,2804.09
51455,TFFF,LFPO,A330-301,3857.99,35048,46081,2815.11
51456,TFFF,LFPO,A330-301,3791.58,35049,46082,2735.57
51457,TFFF,LFPO,A330-301,3819.65,35043,46076,1440.99
51458,TFFF,LFPO,A330-301,3753.24,35044,46077,1690.41
51459,TFFF,LFPO,A330-301,3788.88,35045,46078,1561.21
51460,TFFF,LFPO,A330-301,3774.84,35046,46079,1493.46
51465,LTAI,EDDK,757-300,1353.13,52575,41732,1673.01
51466,LTAI,EDDK,757-300,1376.35,52732,41733,1673.01
51467,LTAI,EDDK,757-300,1384.45,52783,41734,1631.49
51468,LTAI,EDDK,757-300,1362.31,52637,41735,1633.56
51469,LTAI,EDDK,757-300,1407.13,52943,41736,1631.49
51470,LTAI,EDDK,757-300,1392.01,52830,41737,1758.74
51471,LTAI,EDDK,757-300,1386.61,52797,41738,1727.71
51494,KJFK,LIRF,777-300,3920.09,35630,21416,2837.79
51495,KJFK,LIRF,777-300,3903.89,35631,21417,2780.13
51496,KJFK,LIRF,777-300,3942.22,35632,21418,2837.79
51497,KJFK,LIRF,777-300,3826.67,35633,21419,3579.79
51498,KJFK,LIRF,777-300,3800.22,35634,21420,3579.79
51499,KJFK,LIRF,777-300,3855.29,35635,21421,3616.85
51500,KJFK,LIRF,777-300,3886.61,35636,21422,3647.02
51501,KJFK,LIRF,777-300,3804.0,35637,21423,3280.53
51502,KJFK,LIRF,777-300,3787.8,35638,21424,3280.53
51503,KJFK,LIRF,777-300,3797.52,35639,21425,2778.96
51504,KJFK,LIRF,777-300,3815.33,35640,21426,2778.96
51505,KJFK,LIRF,777-300,3843.41,35641,21427,2919.6
51506,KJFK,LIRF,777-300,3750.54,35642,21428,2761.66
51507,KJFK,LIRF,777-300,3843.41,35643,21429,2963.3
51573,KJFK,EHAM,777-300,3210.58,12419,21280,1569.13
51574,KJFK,EHAM,777-300,3278.62,12421,21281,1892.58
51575,KJFK,EHAM,777-300,3249.46,12423,21282,1939.27
51576,KJFK,EHAM,777-300,3240.82,12425,21283,1940.2
51577,KJFK,EHAM,777-300,3262.96,12427,21284,1892.58
51578,KJFK,EHAM,777-300,3197.62,12429,21285,1890.34
51579,KJFK,EHAM,777-300,3207.34,12431,21286,1637.39
51580,KJFK,EHAM,777-300,3286.18,12433,21287,1723.29
51581,KJFK,EHAM,777-300,3175.49,12415,21278,1619.38
