id,sid,type,name
1,BG,NAS,GREENLAND (DENMARK)
2,BI,NAS,ICELAND
3,C,NAS,CANADA
4,DA,NAS,ALGERIA
5,DG,NAS,GHANA
6,DN,NAS,NIGERIA
7,DR,NAS,NIGER
8,DT,NAS,TUNISIA
9,EB,NAS,BELGIUM
10,ED,NAS,GERMANY
11,EE,NAS,ESTONIA
12,EF,NAS,FINLAND
13,EG,NAS,UNITED KINGDOM
14,EH,NAS,THE NETHERLANDS
15,EI,NAS,IRELAND
16,EK,NAS,DENMARK
17,EN,NAS,NORWAY
18,EP,NAS,POLAND
19,ES,NAS,SWEDEN
20,EV,NAS,LATVIA
21,EY,NAS,LITHUANIA
22,F,NAS,F REGION
24,GM,NAS,MOROCCO
25,GO,NAS,SENEGAL
26,GV,NAS,CAPE VERDE
27,HA,NAS,ETHIOPIA + DJIBUTI
29,HC,NAS,SOMALIA
30,HE,NAS,EGYPT
31,HH,NAS,ERITREA
32,HK,NAS,KENYA
33,HL,NAS,LYBIA
35,HS,NAS,SUDAN
36,HT,NAS,TANZANIA
37,HU,NAS,UGANDA
38,K,NAS,USA
39,LA,NAS,ALBANIA
40,LB,NAS,BULGARIA
41,LC,NAS,CYPRUS
42,LD,NAS,CROATIA
43,LE,NAS,SPAIN
44,LF,NAS,FRANCE
45,LG,NAS,GREECE
46,LH,NAS,HUNGARY
47,LI,NAS,ITALY
48,LJ,NAS,SLOVENIA
49,LK,NAS,CZECH REPUBLIC
50,LL,NAS,ISRAEL
51,LM,NAS,MALTA
52,LO,NAS,AUSTRIA
53,LP,NAS,PORTUGAL
54,LQ,NAS,BOSNIA-HERZEGOVINA
55,LR,NAS,ROMANIA
56,LS,NAS,SWITZERLAND
57,LT,NAS,TURKEY
58,LU,NAS,REPUBLIC OF MOLDOVA
59,LW,NAS,FYROM
60,LY,NAS,REPUBLIC SERBIA + REPUBLIC  MONTENEGRO
61,LZ,NAS,SLOVAKIA
62,M,NAS,CENTRAL AMERICA
64,O,NAS,O REGION
65,OI,NAS,IRAN
66,OJ,NAS,JORDAN
67,OL,NAS,LEBANON
68,OM,NAS,UNITED ARAB EMIRATES
69,OR,NAS,IRAK
71,S,NAS,SOUTH AMERICA
72,T,NAS,CARAIBEAN
73,U,NAS,RUSSIAN FEDERATION
74,UA,NAS,KAZACHSTAN
75,UB,NAS,AZERBAJAN
76,UC,NAS,KYRGYZSTAN
77,UD,NAS,ARMENIA
78,UG,NAS,GEORGIA
79,UK,NAS,UKRAINE
80,UM,NAS,BELARUS
81,UT,NAS,UT REGION
82,V,NAS,V W A REGION
85,Z,NAS,Z & R REGION
86,GC,NAS,CANARY ISLANDS
87,EX,NAS,SHANWICK OCEANIC
88,AZ,NAS,PORTUGAL SM
