id,based_route_pool_static_id,based_route_pool_o_d_generated,tact_id,f_airac_id,icao_orig,icao_dest,fp_distance_km,fp_distance_km_orig,f_database,type
83,83.0,,113689.0,200996.0,BIKF,GCTS,4237,4237,ddr_1409,historic
170,170.0,,477794.0,100628.0,CYHZ,EDDF,5359,5359,ddr_1409,historic
171,171.0,,510323.0,102350.0,CYHZ,EDDF,5344,5344,ddr_1409,historic
172,172.0,,108899.0,181537.0,CYHZ,EDDF,5422,5422,ddr_1409,historic
181,181.0,,144748.0,198929.0,CYOW,EDDF,6148,6148,ddr_1409,historic
182,182.0,,512348.0,132220.0,CYOW,EDDF,6092,6092,ddr_1409,historic
183,183.0,,111442.0,171401.0,CYOW,EDDF,6106,6106,ddr_1409,historic
184,184.0,,448616.0,54298.0,CYOW,EDDF,6264,6264,ddr_1409,historic
190,190.0,,109545.0,170711.0,CYQB,LFPG,5758,5758,ddr_1409,historic
191,191.0,,453597.0,75110.0,CYQB,LFPG,5585,5585,ddr_1409,historic
192,192.0,,480387.0,96851.0,CYQB,LFPG,5571,5571,ddr_1409,historic
217,217.0,,143066.0,202803.0,CYUL,EDDF,5899,5899,ddr_1409,historic
218,218.0,,112630.0,168687.0,CYUL,EDDF,5990,5990,ddr_1409,historic
219,219.0,,514025.0,125849.0,CYUL,EDDF,5979,5979,ddr_1409,historic
220,220.0,,112993.0,175875.0,CYUL,EDDF,6042,6042,ddr_1409,historic
221,221.0,,145701.0,204201.0,CYUL,EDDF,6021,6021,ddr_1409,historic
222,222.0,,450881.0,68906.0,CYUL,EDDF,6114,6114,ddr_1409,historic
223,223.0,,479094.0,99609.0,CYUL,EDDF,6229,6229,ddr_1409,historic
233,233.0,,106816.0,191439.0,CYUL,EHAM,5558,5558,ddr_1409,historic
234,234.0,,140468.0,191960.0,CYUL,EHAM,5540,5540,ddr_1409,historic
235,235.0,,447678.0,46476.0,CYUL,EHAM,5898,5898,ddr_1409,historic
236,236.0,,481437.0,99920.0,CYUL,EHAM,5883,5883,ddr_1409,historic
241,241.0,,109396.0,201203.0,CYUL,LFBD,5659,5659,ddr_1409,historic
242,242.0,,417045.0,19954.0,CYUL,LFBD,5885,5885,ddr_1409,historic
250,250.0,,115427.0,168046.0,CYUL,LFMN,6373,6373,ddr_1409,historic
251,251.0,,519718.0,153746.0,CYUL,LFMN,6446,6446,ddr_1409,historic
252,252.0,,420537.0,54768.0,CYUL,LFMN,6572,6572,ddr_1409,historic
253,253.0,,510408.0,101873.0,CYUL,LFMN,6427,6427,ddr_1409,historic
254,254.0,,115385.0,171142.0,CYUL,LFPG,5608,5608,ddr_1409,historic
255,255.0,,112764.0,203422.0,CYUL,LFPG,5589,5589,ddr_1409,historic
256,256.0,,479208.0,100440.0,CYUL,LFPG,5763,5763,ddr_1409,historic
257,257.0,,420852.0,55444.0,CYUL,LFPG,5721,5721,ddr_1409,historic
258,258.0,,425362.0,62525.0,CYUL,LFPG,5783,5783,ddr_1409,historic
259,259.0,,453250.0,90344.0,CYUL,LFPG,5739,5739,ddr_1409,historic
260,260.0,,483165.0,104080.0,CYUL,LFPG,5704,5704,ddr_1409,historic
261,261.0,,515530.0,153475.0,CYUL,LFPG,5570,5570,ddr_1409,historic
262,262.0,,459336.0,73865.0,CYUL,LFPG,5818,5818,ddr_1409,historic
263,263.0,,492879.0,107991.0,CYUL,LFPG,5816,5816,ddr_1409,historic
285,285.0,,110571.0,173916.0,CYUL,LSZH,6084,6084,ddr_1409,historic
286,286.0,,477962.0,81568.0,CYUL,LSZH,6297,6297,ddr_1409,historic
