id,route_pool_id,version,distance_orig_fp_km,bada_code_ac_model,bada_version,version_description,status
10442,83,-1,4237.0,737-700,4.0,Test - no wind,0
10443,170,-1,5359.0,767-300ER,4.0,Test - no wind,0
10444,171,-1,5344.0,767-300ER,4.0,Test - no wind,0
10445,172,-1,5422.0,767-300ER,4.0,Test - no wind,0
10446,181,-1,6148.0,767-300ER,4.0,Test - no wind,0
10447,182,-1,6092.0,767-300ER,4.0,Test - no wind,0
10448,183,-1,6106.0,767-300ER,4.0,Test - no wind,0
10449,184,-1,6264.0,767-300ER,4.0,Test - no wind,0
10450,190,-1,5758.0,A310-324,4.0,Test - no wind,0
10451,191,-1,5585.0,A310-324,4.0,Test - no wind,0
10452,192,-1,5571.0,A310-324,4.0,Test - no wind,0
10453,217,-1,5899.0,A330-301,4.0,Test - no wind,0
10454,217,-1,5899.0,A340-642,4.0,Test - no wind,0
10455,218,-1,5990.0,A330-301,4.0,Test - no wind,0
10456,218,-1,5990.0,A340-642,4.0,Test - no wind,0
10457,219,-1,5979.0,A330-301,4.0,Test - no wind,0
10458,219,-1,5979.0,A340-642,4.0,Test - no wind,0
10459,220,-1,6042.0,A330-301,4.0,Test - no wind,0
10460,220,-1,6042.0,A340-642,4.0,Test - no wind,0
10461,221,-1,6021.0,A330-301,4.0,Test - no wind,0
10462,221,-1,6021.0,A340-642,4.0,Test - no wind,0
10463,222,-1,6114.0,A330-301,4.0,Test - no wind,0
10464,222,-1,6114.0,A340-642,4.0,Test - no wind,0
10465,223,-1,6229.0,A330-301,4.0,Test - no wind,0
10466,223,-1,6229.0,A340-642,4.0,Test - no wind,0
10467,233,-1,5558.0,A340-642,4.0,Test - no wind,0
10468,234,-1,5540.0,A340-642,4.0,Test - no wind,0
10469,235,-1,5898.0,A340-642,4.0,Test - no wind,0
10470,236,-1,5883.0,A340-642,4.0,Test - no wind,0
10471,241,-1,5659.0,A310-324,4.0,Test - no wind,0
10472,242,-1,5885.0,A310-324,4.0,Test - no wind,0
10473,250,-1,6373.0,A310-324,4.0,Test - no wind,0
10474,251,-1,6446.0,A310-324,4.0,Test - no wind,0
10475,252,-1,6572.0,A310-324,4.0,Test - no wind,0
10476,253,-1,6427.0,A310-324,4.0,Test - no wind,0
10477,254,-1,5608.0,747-400ER,4.0,Test - no wind,0
10478,255,-1,5589.0,747-400ER,4.0,Test - no wind,0
10479,256,-1,5763.0,747-400ER,4.0,Test - no wind,0
10480,257,-1,5721.0,747-400ER,4.0,Test - no wind,0
10481,258,-1,5783.0,747-400ER,4.0,Test - no wind,0
10482,259,-1,5739.0,747-400ER,4.0,Test - no wind,0
10483,260,-1,5704.0,747-400ER,4.0,Test - no wind,0
10484,261,-1,5570.0,747-400ER,4.0,Test - no wind,0
10485,262,-1,5818.0,747-400ER,4.0,Test - no wind,0
10486,263,-1,5816.0,747-400ER,4.0,Test - no wind,0
10487,285,-1,6084.0,A330-301,4.0,Test - no wind,0
10488,286,-1,6297.0,A330-301,4.0,Test - no wind,0
10489,294,-1,8492.0,747-400ER,4.0,Test - no wind,0
10490,295,-1,8227.0,747-400ER,4.0,Test - no wind,0
10491,296,-1,8276.0,747-400ER,4.0,Test - no wind,0
10492,297,-1,8307.0,747-400ER,4.0,Test - no wind,0
10493,298,-1,8446.0,747-400ER,4.0,Test - no wind,0
10494,299,-1,8399.0,747-400ER,4.0,Test - no wind,0
10495,300,-1,8384.0,747-400ER,4.0,Test - no wind,0
10496,324,-1,7806.0,A330-301,4.0,Test - no wind,0
10497,325,-1,7985.0,A330-301,4.0,Test - no wind,0
10498,326,-1,8040.0,A330-301,4.0,Test - no wind,0
10499,327,-1,7995.0,A330-301,4.0,Test - no wind,0
10500,328,-1,7969.0,A330-301,4.0,Test - no wind,0
10501,329,-1,8029.0,A330-301,4.0,Test - no wind,0
10502,341,-1,7268.0,A330-301,4.0,Test - no wind,0
10503,342,-1,7316.0,A330-301,4.0,Test - no wind,0
10504,352,-1,7279.0,A330-301,4.0,Test - no wind,0
10505,353,-1,7304.0,A330-301,4.0,Test - no wind,0
10506,354,-1,7335.0,A330-301,4.0,Test - no wind,0
10507,355,-1,7248.0,A330-301,4.0,Test - no wind,0
10508,356,-1,7432.0,A330-301,4.0,Test - no wind,0
10509,357,-1,7435.0,A330-301,4.0,Test - no wind,0
10510,358,-1,7432.0,A330-301,4.0,Test - no wind,0
10511,381,-1,6097.0,A330-301,4.0,Test - no wind,0
10512,382,-1,6372.0,A330-301,4.0,Test - no wind,0
10513,383,-1,6123.0,A330-301,4.0,Test - no wind,0
10514,384,-1,6427.0,A330-301,4.0,Test - no wind,0
10515,385,-1,6510.0,777-300,4.0,Test - no wind,0
10516,385,-1,6510.0,747-400ER,4.0,Test - no wind,0
10517,386,-1,6567.0,777-300,4.0,Test - no wind,0
10518,386,-1,6567.0,747-400ER,4.0,Test - no wind,0
10519,387,-1,6411.0,777-300,4.0,Test - no wind,0
10520,387,-1,6411.0,747-400ER,4.0,Test - no wind,0
10521,388,-1,6546.0,777-300,4.0,Test - no wind,0
10522,388,-1,6546.0,747-400ER,4.0,Test - no wind,0
10523,389,-1,6475.0,777-300,4.0,Test - no wind,0
10524,389,-1,6475.0,747-400ER,4.0,Test - no wind,0
10525,390,-1,6450.0,777-300,4.0,Test - no wind,0
10526,390,-1,6450.0,747-400ER,4.0,Test - no wind,0
10527,391,-1,6490.0,777-300,4.0,Test - no wind,0
10528,391,-1,6490.0,747-400ER,4.0,Test - no wind,0
10529,392,-1,6566.0,777-300,4.0,Test - no wind,0
10530,392,-1,6566.0,747-400ER,4.0,Test - no wind,0
10531,393,-1,6464.0,777-300,4.0,Test - no wind,0
10532,393,-1,6464.0,747-400ER,4.0,Test - no wind,0
10533,394,-1,6711.0,777-300,4.0,Test - no wind,0
10534,394,-1,6711.0,747-400ER,4.0,Test - no wind,0
10535,395,-1,6602.0,777-300,4.0,Test - no wind,0
10536,395,-1,6602.0,747-400ER,4.0,Test - no wind,0
10537,396,-1,6673.0,777-300,4.0,Test - no wind,0
10538,396,-1,6673.0,747-400ER,4.0,Test - no wind,0
10539,397,-1,6739.0,777-300,4.0,Test - no wind,0
10540,397,-1,6739.0,747-400ER,4.0,Test - no wind,0
10541,398,-1,6763.0,777-300,4.0,Test - no wind,0
10542,398,-1,6763.0,747-400ER,4.0,Test - no wind,0
10543,399,-1,6624.0,777-300,4.0,Test - no wind,0
10544,399,-1,6624.0,747-400ER,4.0,Test - no wind,0
10545,400,-1,6666.0,777-300,4.0,Test - no wind,0
10546,400,-1,6666.0,747-400ER,4.0,Test - no wind,0
10547,401,-1,6710.0,A330-301,4.0,Test - no wind,0
10548,402,-1,6693.0,A330-301,4.0,Test - no wind,0
10549,403,-1,6729.0,A330-301,4.0,Test - no wind,0
10550,404,-1,6806.0,A330-301,4.0,Test - no wind,0
10551,405,-1,6851.0,A330-301,4.0,Test - no wind,0
10552,406,-1,7020.0,A330-301,4.0,Test - no wind,0
10553,407,-1,6901.0,A330-301,4.0,Test - no wind,0
10554,417,-1,5948.0,777-300,4.0,Test - no wind,0
10555,417,-1,5948.0,787-8,4.0,Test - no wind,0
10556,418,-1,5915.0,777-300,4.0,Test - no wind,0
10557,418,-1,5915.0,787-8,4.0,Test - no wind,0
10558,419,-1,5814.0,777-300,4.0,Test - no wind,0
10559,419,-1,5814.0,787-8,4.0,Test - no wind,0
10560,420,-1,5832.0,777-300,4.0,Test - no wind,0
10561,420,-1,5832.0,787-8,4.0,Test - no wind,0
10562,421,-1,5875.0,777-300,4.0,Test - no wind,0
10563,421,-1,5875.0,787-8,4.0,Test - no wind,0
10564,422,-1,5806.0,777-300,4.0,Test - no wind,0
10565,422,-1,5806.0,787-8,4.0,Test - no wind,0
10566,423,-1,5938.0,777-300,4.0,Test - no wind,0
10567,423,-1,5938.0,787-8,4.0,Test - no wind,0
10568,424,-1,5978.0,777-300,4.0,Test - no wind,0
10569,424,-1,5978.0,787-8,4.0,Test - no wind,0
10570,425,-1,6067.0,777-300,4.0,Test - no wind,0
10571,425,-1,6067.0,787-8,4.0,Test - no wind,0
10572,426,-1,5827.0,777-300,4.0,Test - no wind,0
10573,426,-1,5827.0,787-8,4.0,Test - no wind,0
10574,427,-1,5946.0,777-300,4.0,Test - no wind,0
10575,427,-1,5946.0,787-8,4.0,Test - no wind,0
10576,428,-1,5995.0,777-300,4.0,Test - no wind,0
10577,428,-1,5995.0,787-8,4.0,Test - no wind,0
10578,429,-1,5980.0,777-300,4.0,Test - no wind,0
10579,429,-1,5980.0,787-8,4.0,Test - no wind,0
10580,434,-1,5458.0,767-300ER,4.0,Test - no wind,0
10581,435,-1,5466.0,767-300ER,4.0,Test - no wind,0
10582,436,-1,5350.0,767-300ER,4.0,Test - no wind,0
10583,437,-1,5435.0,767-300ER,4.0,Test - no wind,0
10584,438,-1,6024.0,A340-642,4.0,Test - no wind,0
10585,439,-1,6068.0,A340-642,4.0,Test - no wind,0
10586,440,-1,6041.0,A340-642,4.0,Test - no wind,0
10587,441,-1,6042.0,A340-642,4.0,Test - no wind,0
10588,442,-1,6809.0,A340-642,4.0,Test - no wind,0
10589,443,-1,6132.0,A340-642,4.0,Test - no wind,0
10590,444,-1,6380.0,A340-642,4.0,Test - no wind,0
10591,445,-1,6193.0,A340-642,4.0,Test - no wind,0
10592,446,-1,6289.0,A340-642,4.0,Test - no wind,0
10593,447,-1,6322.0,A340-642,4.0,Test - no wind,0
10594,448,-1,5430.0,757-300,4.0,Test - no wind,0
10595,449,-1,5389.0,757-300,4.0,Test - no wind,0
10596,450,-1,5430.0,757-300,4.0,Test - no wind,0
10597,451,-1,5371.0,757-300,4.0,Test - no wind,0
10598,452,-1,5298.0,757-300,4.0,Test - no wind,0
10599,453,-1,5487.0,757-300,4.0,Test - no wind,0
10600,454,-1,5683.0,757-300,4.0,Test - no wind,0
10601,455,-1,5666.0,757-300,4.0,Test - no wind,0
10602,456,-1,5563.0,757-300,4.0,Test - no wind,0
10603,457,-1,5548.0,757-300,4.0,Test - no wind,0
10604,478,-1,6465.0,777-300,4.0,Test - no wind,0
10605,478,-1,6465.0,A310-324,4.0,Test - no wind,0
10606,479,-1,6080.0,777-300,4.0,Test - no wind,0
10607,479,-1,6080.0,A310-324,4.0,Test - no wind,0
10608,480,-1,6123.0,777-300,4.0,Test - no wind,0
10609,480,-1,6123.0,A310-324,4.0,Test - no wind,0
10610,481,-1,6269.0,777-300,4.0,Test - no wind,0
10611,481,-1,6269.0,A310-324,4.0,Test - no wind,0
10612,482,-1,6260.0,777-300,4.0,Test - no wind,0
10613,482,-1,6260.0,A310-324,4.0,Test - no wind,0
10614,483,-1,6256.0,777-300,4.0,Test - no wind,0
10615,483,-1,6256.0,A310-324,4.0,Test - no wind,0
10616,484,-1,6125.0,777-300,4.0,Test - no wind,0
10617,484,-1,6125.0,A310-324,4.0,Test - no wind,0
10618,485,-1,6295.0,777-300,4.0,Test - no wind,0
10619,485,-1,6295.0,A310-324,4.0,Test - no wind,0
10620,486,-1,6630.0,777-300,4.0,Test - no wind,0
10621,486,-1,6630.0,A310-324,4.0,Test - no wind,0
10622,487,-1,6309.0,777-300,4.0,Test - no wind,0
10623,487,-1,6309.0,A310-324,4.0,Test - no wind,0
10624,488,-1,6240.0,777-300,4.0,Test - no wind,0
10625,488,-1,6240.0,A310-324,4.0,Test - no wind,0
10626,489,-1,6225.0,777-300,4.0,Test - no wind,0
10627,489,-1,6225.0,A310-324,4.0,Test - no wind,0
10628,490,-1,8309.0,767-300ER,4.0,Test - no wind,0
10629,491,-1,8661.0,767-300ER,4.0,Test - no wind,0
