scenario_id,atfm_type,p,info
all,all_all,0.11098826928958368,all data
D,all_all,0.09125388624989887,days 0.3-0.8
H,all_all,0.19830613906051905,days >=0.8
L,all_all,0.0432289169537355,days <=0.3
M,all_all,0.09125388624989887,days 0.3-0.8
all,all_excluding_airports,0.0787202469882271,all data
D,all_excluding_airports,0.06168764374790518,days 0.3-0.8
H,all_excluding_airports,0.1492762932849545,days >=0.8
L,all_excluding_airports,0.026669918419795786,days <=0.3
M,all_excluding_airports,0.06168764374790518,days 0.3-0.8
all,non_weather_all,0.08398843275318403,all data
D,non_weather_all,0.0668899598950568,days 0.3-0.8
H,non_weather_all,0.15492437798251724,days >=0.8
L,non_weather_all,0.03115355018462013,days <=0.3
M,non_weather_all,0.0668899598950568,days 0.3-0.8
all,non_weather_excluding_airports,0.06484605419960839,all data
D,non_weather_excluding_airports,0.052062457381274345,days 0.3-0.8
H,non_weather_excluding_airports,0.11986515945707038,days >=0.8
L,non_weather_excluding_airports,0.02331747179889385,days <=0.3
M,non_weather_excluding_airports,0.052062457381274345,days 0.3-0.8
all,weather_all,0.026999836536399653,all data
D,weather_all,0.024363926354842066,days 0.3-0.8
H,weather_all,0.043381761078001825,days >=0.8
L,weather_all,0.012075366769115366,days <=0.3
M,weather_all,0.024363926354842066,days 0.3-0.8
all,weather_excluding_airports,0.013874192788618714,all data
D,weather_excluding_airports,0.009625186366630838,days 0.3-0.8
H,weather_excluding_airports,0.029411133827884132,days >=0.8
L,weather_excluding_airports,0.0033524466209019364,days <=0.3
M,weather_excluding_airports,0.009625186366630838,days 0.3-0.8
