icao_id,airport_set,reg_sid,reg_reason,reg_period_start,reg_period_end,capacity,day_start,day_end
LFSB,,CPLFBA09,O,2014-03-09 21:23:00,2014-03-09 21:55:00,60,2014-03-09,2014-03-09
EBBR,EBBR/MB,EBBR117M,W,2014-06-17 05:40:00,2014-06-17 07:40:00,20,2014-06-17,2014-06-17
EBMB,EBBR/MB,EBBR117M,W,2014-06-17 05:40:00,2014-06-17 07:40:00,20,2014-06-17,2014-06-17
EBBR,EBBR/MB,EBBR19A,T,2014-05-19 17:00:00,2014-05-19 17:10:00,18,2014-05-19,2014-05-19
EBMB,EBBR/MB,EBBR19A,T,2014-05-19 17:00:00,2014-05-19 17:10:00,18,2014-05-19,2014-05-19
EBBR,EBBR/MB,EBBRA01,W,2014-02-01 06:40:00,2014-02-01 08:00:00,14,2014-02-01,2014-02-01
EBMB,EBBR/MB,EBBRA01,W,2014-02-01 06:40:00,2014-02-01 08:00:00,14,2014-02-01,2014-02-01
EBBR,EBBR/MB,EBBRA01,W,2014-07-01 06:00:00,2014-07-01 06:48:00,18,2014-07-01,2014-07-01
EBMB,EBBR/MB,EBBRA01,W,2014-07-01 06:00:00,2014-07-01 06:48:00,18,2014-07-01,2014-07-01
EBBR,EBBR/MB,EBBRA01A,W,2014-07-01 17:20:00,2014-07-01 18:20:00,15,2014-07-01,2014-07-01
EBMB,EBBR/MB,EBBRA01A,W,2014-07-01 17:20:00,2014-07-01 18:20:00,15,2014-07-01,2014-07-01
EBBR,EBBR/MB,EBBRA02,W,2014-05-02 15:40:00,2014-05-02 19:00:00,13,2014-05-02,2014-05-02
EBMB,EBBR/MB,EBBRA02,W,2014-05-02 15:40:00,2014-05-02 19:00:00,13,2014-05-02,2014-05-02
EBBR,EBBR/MB,EBBRA02,W,2014-07-02 05:40:00,2014-07-02 07:40:00,18,2014-07-02,2014-07-02
EBMB,EBBR/MB,EBBRA02,W,2014-07-02 05:40:00,2014-07-02 07:40:00,18,2014-07-02,2014-07-02
EBBR,EBBR/MB,EBBRA02A,W,2014-09-02 16:40:00,2014-09-02 18:40:00,15,2014-09-02,2014-09-02
EBMB,EBBR/MB,EBBRA02A,W,2014-09-02 16:40:00,2014-09-02 18:40:00,15,2014-09-02,2014-09-02
