nid,pax,avg_fare,ticket_type,leg1,leg2,leg3,leg4
407751,2,412.0,flex,34224,,,
407752,10,1640.0,flex,34224,,,
407753,2,1668.0,flex,34224,,,
407754,5,1963.0,flex,34224,,,
407755,6,199.0,economy,34224,,,
407756,14,257.0,economy,34224,,,
407757,13,270.0,economy,34224,,,
407758,5,281.0,economy,34224,,,
407759,15,289.0,economy,34224,,,
407760,29,299.0,economy,34224,,,
407761,47,317.0,economy,34224,,,
407762,2,333.0,economy,34224,,,
407763,6,337.0,economy,34224,,,
407764,8,357.0,economy,34224,,,
407765,11,412.0,economy,34224,,,
407779,22,2617.0,flex,34653,,,
407780,1,3638.0,flex,34653,,,
407781,1,372.0,economy,34653,,,
407782,1,385.0,economy,34653,,,
407783,7,388.0,economy,34653,,,
407784,1,402.0,economy,34653,,,
407785,1,421.0,economy,34653,,,
407786,107,431.0,economy,34653,,,
407787,4,464.0,economy,34653,,,
407788,3,675.0,economy,34653,,,
407789,1,729.0,economy,34653,,,
407790,3,807.0,economy,34653,,,
407791,19,816.0,economy,34653,,,
407792,1,817.0,economy,34653,,,
407793,1,939.0,economy,34653,,,
407794,21,999.0,economy,34653,,,
407795,1,1190.0,economy,34653,,,
407796,1,1259.0,economy,34653,,,
407797,1,1435.0,economy,34653,,,
407798,2,2607.0,economy,34653,,,
407799,16,2617.0,economy,34653,,,
407800,1,3648.0,economy,34653,,,
407863,2,605.0,flex,34800,,,
407864,14,2113.0,flex,34800,,,
407865,17,287.0,economy,34800,,,
407866,41,419.0,economy,34800,,,
407867,25,428.0,economy,34800,,,
407868,20,515.0,economy,34800,,,
407869,18,561.0,economy,34800,,,
407870,9,605.0,economy,34800,,,
407883,10,653.0,flex,34782,,,
407884,5,2040.0,flex,34782,,,
407885,5,2582.0,flex,34782,,,
407886,2,416.0,economy,34782,,,
407887,2,457.0,economy,34782,,,
407888,3,490.0,economy,34782,,,
407889,19,514.0,economy,34782,,,
407890,70,517.0,economy,34782,,,
407891,27,563.0,economy,34782,,,
407892,5,648.0,economy,34782,,,
407893,34,653.0,economy,34782,,,
407894,1,1446.8,economy,34782,,,
407907,1,1918.0,flex,34718,,,
407908,3,1922.0,flex,34718,,,
407909,1,1942.0,flex,34718,,,
407910,4,1964.0,flex,34718,,,
407911,1,1975.0,flex,34718,,,
407912,2,3002.0,flex,34718,,,
407913,5,3025.0,flex,34718,,,
407914,1,3243.0,flex,34718,,,
407915,2,212.0,economy,34718,,,
407916,1,237.0,economy,34718,,,
407917,1,239.0,economy,34718,,,
407918,1,244.0,economy,34718,,,
407919,10,245.0,economy,34718,,,
407920,2,247.0,economy,34718,,,
407921,1,248.0,economy,34718,,,
407922,102,249.0,economy,34718,,,
407923,2,253.0,economy,34718,,,
407924,3,254.0,economy,34718,,,
407925,5,257.0,economy,34718,,,
407926,1,258.0,economy,34718,,,
407927,1,259.0,economy,34718,,,
407928,3,260.0,economy,34718,,,
407929,1,261.0,economy,34718,,,
407930,1,265.0,economy,34718,,,
407931,1,266.0,economy,34718,,,
407932,1,268.0,economy,34718,,,
407933,3,281.0,economy,34718,,,
407934,1,284.0,economy,34718,,,
