nid,flight_id,callsign,airline,airline_type,origin,destination,gcdistance,long_short_dist,sobt,sibt,aircraft_type,mtow,wk_tbl_cat,registration,max_seats,exclude,prev_flight_nid
33716,180183245,QGC114,QGC,FSC,SAEZ,LIRF,6023,I,2014-09-11 13:05:00,2014-09-12 02:40:00,A343,269,H,FHOUA,300,0,
33717,180183522,BVH293,BVH,FSC,RJTT,LFPG,5247,I,2014-09-11 13:15:00,2014-09-12 02:00:00,B77W,345,H,HDFBM,468,0,
33718,180183996,TBX53,TBX,FSC,RJAA,LTBA,4863,I,2014-09-11 13:30:00,2014-09-12 02:00:00,A333,231,H,WCIVO,289,0,
33719,180184004,TBX47,TBX,FSC,RJBB,LTBA,4735,I,2014-09-11 13:30:00,2014-09-12 02:35:00,A332,230,H,PXDTO,281,0,
33723,180186174,TBX27,TBX,FSC,ZSPD,LTBA,4340,I,2014-09-11 14:45:00,2014-09-12 02:25:00,B77W,345,H,QKMXJ,316,0,
33724,180186180,GDV046,GDV,FSC,SUMU,LEMD,5377,I,2014-09-11 14:45:00,2014-09-12 03:10:00,A332,230,H,ZMPHY,299,0,
33725,180186332,TBX91,TBX,FSC,RKSI,LTBA,4290,I,2014-09-11 14:50:00,2014-09-12 02:45:00,A333,231,H,QJTYM,289,0,
33727,180186471,BVH185,BVH,FSC,VHHH,LFPG,5194,I,2014-09-11 14:55:00,2014-09-12 04:05:00,A388,551,J,UCJAY,516,0,
33728,180186472,GDV042,GDV,FSC,SAEZ,LEMD,5446,I,2014-09-11 14:55:00,2014-09-12 03:15:00,A332,230,H,TBZKY,299,0,
33729,180186474,SIZ12,SIZ,FSC,WSSS,EGLL,5878,I,2014-09-11 14:55:00,2014-09-12 04:05:00,B744,393,H,TEHOK,337,0,
33731,180186716,TBX73,TBX,FSC,ZGGG,LTBA,4274,I,2014-09-11 15:00:00,2014-09-12 02:40:00,A343,269,H,TPSEA,276,0,
33732,180186733,GDV076,GDV,FSC,SPIM,LEMD,5149,I,2014-09-11 15:00:00,2014-09-12 03:00:00,A332,230,H,QJBPC,299,0,
33733,180186738,BVH107,BVH,FSC,ZGGG,LFPG,5125,I,2014-09-11 15:00:00,2014-09-12 03:50:00,B772,282,H,RXCOQ,309,0,
33734,180186870,SIZ16,SIZ,FSC,WSSS,EGLL,5878,I,2014-09-11 15:05:00,2014-09-12 04:30:00,B77W,345,H,LVQDR,297,0,
33735,180186871,GJH779,GJH,FSC,WSSS,EDDF,5551,I,2014-09-11 15:05:00,2014-09-12 03:40:00,A388,551,J,QAWOP,488,0,
33736,180187002,MYS061,MYS,FSC,RCTP,EDDF,5073,I,2014-09-11 15:10:00,2014-09-12 04:50:00,B744,393,H,SJRHV,397,0,
33737,180187003,AXR179,AXR,FSC,WSSS,LSZH,5565,I,2014-09-11 15:10:00,2014-09-12 04:10:00,A343,269,H,PJXUL,219,0,
33738,180187007,PCY328,PCY,FSC,WSSS,EDDM,5432,I,2014-09-11 15:10:00,2014-09-12 03:35:00,B77W,345,H,NOYGW,278,0,
33739,180187008,GJH797,GJH,FSC,VHHH,EDDF,4958,I,2014-09-11 15:10:00,2014-09-12 03:20:00,B748,444,H,UEBLX,364,0,
33741,180187152,TBX61,TBX,FSC,WMKK,LTBA,4501,I,2014-09-11 15:15:00,2014-09-12 02:35:00,A333,231,H,UNLFW,289,0,
33742,180187161,AXR139,AXR,FSC,VHHH,LSZH,5027,I,2014-09-11 15:15:00,2014-09-12 04:10:00,A343,269,H,QAZVT,219,0,
33743,180187171,SIZ26,SIZ,FSC,VHHH,EGLL,5215,I,2014-09-11 15:15:00,2014-09-12 03:55:00,A388,551,J,XPNZH,469,0,
33746,180187304,GJH731,GJH,FSC,VHHH,EDDM,4886,I,2014-09-11 15:20:00,2014-09-12 03:35:00,A346,370,H,FQIGK,306,0,
33747,180187306,VTZ683,VTZ,FSC,SCEL,LEMD,5794,I,2014-09-11 15:20:00,2014-09-12 04:20:00,A346,370,H,PISHT,342,0,
33748,180187310,TPJ810,TPJ,FSC,WMKK,EHAM,5504,I,2014-09-11 15:20:00,2014-09-12 03:55:00,B77W,345,H,KUBVM,425,0,
33749,180187436,UWP201,UWP,FSC,VHHH,EGLL,5215,I,2014-09-11 15:25:00,2014-09-12 04:25:00,A346,370,H,PMNAT,306,0,
33750,180187437,TBX71,TBX,FSC,VHHH,LTBA,4342,I,2014-09-11 15:25:00,2014-09-12 02:45:00,B77W,345,H,RVYSL,316,0,
33751,180187608,BVH111,BVH,FSC,ZSPD,LFPG,5009,I,2014-09-11 15:30:00,2014-09-12 03:35:00,A388,551,J,XWSJC,516,0,
33752,180187614,PCY322,PCY,FSC,WSSS,EGLL,5878,I,2014-09-11 15:30:00,2014-09-12 04:55:00,A388,551,J,FZVCK,471,0,
33753,180187637,WQO455,WQO,FSC,ZGGG,EHAM,4954,I,2014-09-11 15:30:00,2014-09-12 03:30:00,B772,282,H,KPLYB,374,0,
33754,180187779,GJH733,GJH,FSC,ZSPD,EDDF,4788,I,2014-09-11 15:35:00,2014-09-12 03:20:00,B744,393,H,AGBXI,344,0,
33755,180187780,GJH727,GJH,FSC,ZSPD,EDDM,4745,I,2014-09-11 15:35:00,2014-09-12 03:30:00,A346,370,H,VBMRE,306,0,
33756,180187784,GEA82,GEA,FSC,WSSS,EFHK,5011,I,2014-09-11 15:35:00,2014-09-12 03:35:00,A343,269,H,NLXQK,270,0,
33757,180187900,SUV20,SUV,FSC,WMKK,LFPG,5616,I,2014-09-11 15:40:00,2014-09-12 04:40:00,A388,551,J,AKCBW,494,0,
33758,180187903,SUV2,SUV,FSC,WMKK,EGLL,5704,I,2014-09-11 15:40:00,2014-09-12 04:50:00,A388,551,J,LASWX,494,0,
33759,180188085,SIZ28,SIZ,FSC,VHHH,EGLL,5215,I,2014-09-11 15:45:00,2014-09-12 04:35:00,B77W,345,H,EPDNZ,297,0,
33760,180188119,VHD11,VHD,FSC,VVTS,LFPG,5462,I,2014-09-11 15:40:00,2014-09-12 04:30:00,B772,282,H,WRPYU,338,0,
33761,180188239,TBX67,TBX,FSC,WSSS,LTBA,4680,I,2014-09-11 15:50:00,2014-09-12 03:10:00,A333,231,H,VPAGW,289,0,
33762,180188242,PCY352,PCY,FSC,WSSS,EKCH,5384,I,2014-09-11 15:50:00,2014-09-12 04:25:00,B772,282,H,UTLXQ,323,0,
33763,180188245,ENF681,ENF,FSC,SAEZ,LIRF,6023,I,2014-09-11 15:50:00,2014-09-12 04:50:00,B772,282,H,PDBFZ,293,0,
33764,180188250,SMP87,SMP,FSC,RCTP,LFPG,5300,I,2014-09-11 15:50:00,2014-09-12 05:35:00,B77W,345,H,SPTLB,316,0,
33765,180188358,SUV16,SUV,FSC,WMKK,EHAM,5504,I,2014-09-11 15:55:00,2014-09-12 04:45:00,B772,282,H,IFLGQ,282,0,
33766,180188367,TPJ856,TPJ,FSC,RKSI,EHAM,4623,I,2014-09-11 15:55:00,2014-09-12 02:55:00,B744,393,H,VFQWX,415,0,
33767,180188375,PCY324,PCY,FSC,WSSS,EHAM,5679,I,2014-09-11 15:55:00,2014-09-12 05:10:00,B772,282,H,YPZAO,323,0,
33768,180188377,PCY26,PCY,FSC,WSSS,EDDF,5551,I,2014-09-11 15:55:00,2014-09-12 04:30:00,A388,551,J,FIGYD,471,0,
33769,180188380,PCY334,PCY,FSC,WSSS,LFPG,5792,I,2014-09-11 15:55:00,2014-09-12 05:20:00,A388,551,J,GFBNT,471,0,
33770,180188387,FNP203,FNP,FSC,RJTT,EDDF,5060,I,2014-09-11 15:55:00,2014-09-12 04:05:00,B788,227,H,CZUNK,240,0,
33771,180188388,PRF251,PRF,FSC,VHHH,EGLL,5215,I,2014-09-11 15:55:00,2014-09-12 04:40:00,B77W,345,H,LXNTM,301,0,
33772,180188401,SUV6,SUV,FSC,WMKK,EDDF,5376,I,2014-09-11 15:59:00,2014-09-12 04:40:00,B772,282,H,PKCTW,282,0,
33774,180188642,SIZ244,SIZ,FSC,SAEZ,EGLL,6015,I,2014-09-11 16:00:00,2014-09-12 05:20:00,B772,282,H,GVSZW,283,0,
33775,180188665,TPJ808,TPJ,FSC,RCTP,EHAM,5114,I,2014-09-11 15:20:00,2014-09-12 04:25:00,B77W,345,H,IJVOL,425,0,
33776,180188767,PRF261,PRF,FSC,VHHH,LFPG,5194,I,2014-09-11 16:05:00,2014-09-12 04:55:00,B77W,345,H,PRNJV,301,0,
33777,180188775,OCW219,OCW,FSC,ZSPD,EDDF,4788,I,2014-09-11 16:05:00,2014-09-12 04:05:00,A332,230,H,QKVIE,264,0,
33778,180188776,WQO307,WQO,FSC,ZGGG,EHAM,4954,I,2014-09-11 16:05:00,2014-09-12 04:45:00,A332,230,H,OLMBX,257,0,
33779,180188777,OCW553,OCW,FSC,ZSPD,LFPG,5009,I,2014-09-11 16:05:00,2014-09-12 04:30:00,A332,230,H,BGFPM,264,0,
33781,180188912,TBX21,TBX,FSC,ZBAA,LTBA,3824,I,2014-09-11 16:10:00,2014-09-12 02:25:00,B77W,345,H,KBGXC,316,0,
33782,180188938,VHD37,VHD,FSC,VVNB,EDDF,4709,I,2014-09-11 16:15:00,2014-09-12 04:00:00,B772,282,H,ZSCTM,338,0,
33783,180189065,PRF293,PRF,FSC,VHHH,LIRF,5030,I,2014-09-11 16:15:00,2014-09-12 05:05:00,A343,269,H,ZCGYA,283,0,
33784,180189068,PRF271,PRF,FSC,VHHH,EHAM,5023,I,2014-09-11 16:15:00,2014-09-12 04:55:00,A343,269,H,FZWUH,283,0,
33785,180189074,IME833,IME,FSC,ZSPD,LFPG,5009,I,2014-09-11 16:15:00,2014-09-12 04:40:00,A332,230,H,EABSI,283,0,
33786,180189210,VTZ684,VTZ,FSC,SAEZ,LEMD,5446,I,2014-09-11 16:20:00,2014-09-12 04:20:00,A346,370,H,NFQZI,342,0,
33787,180189215,LJF975,LJF,FSC,FMEE,LFPG,5065,I,2014-09-11 16:20:00,2014-09-12 03:30:00,B77W,345,H,ZDYHP,442,0,
33788,180189230,WQO347,WQO,FSC,ZGGG,LFPG,5125,I,2014-09-11 16:20:00,2014-09-12 05:20:00,A332,230,H,ZGOJE,257,0,
33789,180189327,AXR181,AXR,FSC,VTBS,LSZH,4894,I,2014-09-11 16:25:00,2014-09-12 04:10:00,A343,269,H,IPDQF,219,0,
33791,180189346,PRF289,PRF,FSC,VHHH,EDDF,4958,I,2014-09-11 16:25:00,2014-09-12 04:30:00,B77W,345,H,GLXPB,301,0,
33792,180189348,BVH259,BVH,FSC,WSSS,LFPG,5792,I,2014-09-11 16:25:00,2014-09-12 05:55:00,B77W,345,H,MGTYP,468,0,
33793,180189349,GEA70,GEA,FSC,VHHH,EFHK,4230,I,2014-09-11 16:25:00,2014-09-12 03:10:00,A343,269,H,CGLRD,270,0,
33794,180189497,TPJ836,TPJ,FSC,WSSS,EHAM,5679,I,2014-09-11 16:30:00,2014-09-12 05:15:00,B772,282,H,BNRZT,318,0,
33796,180189559,TBX69,TBX,FSC,VTBS,LTBA,4058,I,2014-09-11 16:30:00,2014-09-12 02:35:00,B77W,345,H,TJSUM,316,0,
33798,180189680,PRF255,PRF,FSC,VHHH,EGLL,5215,I,2014-09-11 16:35:00,2014-09-12 05:20:00,B77W,345,H,MDJUR,301,0,
33799,180189681,GJH785,GJH,FSC,ZYTX,EDDF,4323,I,2014-09-11 16:15:00,2014-09-12 03:30:00,A343,269,H,NRZKP,221,0,
33801,180189812,PRF279,PRF,FSC,VHHH,LFPG,5194,I,2014-09-11 16:40:00,2014-09-12 05:55:00,A343,269,H,DPAXJ,283,0,
33804,180189968,KIE920,KIE,FSC,VTBS,EDDF,4865,I,2014-09-11 16:45:00,2014-09-12 04:00:00,A388,551,J,JBVAE,507,0,
33806,180190118,TBX4,TBX,FSC,KJFK,LTBA,4352,I,2014-09-11 16:50:00,2014-09-12 02:40:00,A333,231,H,GKONX,289,0,
33808,180190126,WQO345,WQO,FSC,ZBAA,EHAM,4232,I,2014-09-11 16:50:00,2014-09-12 03:40:00,A333,231,H,IFPNK,284,0,
33809,180190241,JHZ26,JHZ,FSC,VTBS,LOWW,4568,I,2014-09-11 16:55:00,2014-09-12 03:35:00,B772,282,H,YWNVQ,309,0,
33810,180190246,SIZ58L,SIZ,FSC,FACT,EGLL,5234,I,2014-09-11 16:55:00,2014-09-12 04:40:00,B744,393,H,QTWUJ,337,0,
33812,180190467,GDV058,GDV,FSC,SBGR,LEMD,4528,I,2014-09-11 17:00:00,2014-09-12 03:15:00,A332,230,H,LVDOK,299,0,
33813,180190469,PRF233,PRF,FSC,VHHH,LIMC,5069,I,2014-09-11 17:00:00,2014-09-12 05:40:00,B77W,345,H,WTYUR,301,0,
33814,180190481,IME827,IME,FSC,ZSPD,EDDM,4745,I,2014-09-11 17:00:00,2014-09-12 05:10:00,A332,230,H,TAWNB,283,0,
33817,180190502,BVH381,BVH,FSC,ZBAA,LFPG,4428,I,2014-09-11 17:00:00,2014-09-12 03:50:00,B77W,345,H,GOEAM,468,0,
33818,180190607,KIE930,KIE,FSC,VTBS,LFPG,5107,I,2014-09-11 17:05:00,2014-09-12 05:05:00,A388,551,J,UYPCK,507,0,
